Date of Incident,City,Select State,Hazard Description,Inspection Number,Federal or State Plan,Citation Issued Related to Fatality
6/24/2019,Lamont,OK,Workerd fatally struck by sledge hammer.,1410904,Federal,No
6/24/2019,Wheeling,IL,Worker died in fall from loading dock.,1410397,Federal,Yes
6/24/2019,Belton,TX,Worker fatally crushed when forklift overturned.,1411348,Federal,Yes
6/24/2019,Chantilly,VA,Worker asphyxiated after falling into hole.,1411167,State,No
6/24/2019,Chapel Hill,NC,Worker fatally struck by truck.,1410763,State,Yes
6/24/2019,Clearwater,FL,Woker fatally crushed by steel plate.,1410570,Federal,No
6/24/2019,Belmond,IA,Worker fatally engulfed by grain.,1412130,State,Yes
6/23/2019,Miami,FL,Worker fatally struck by tractor.,1411297,Federal,No
6/22/2019,Galt,CA,Worker died after slipping and striking head on ground.,1410436,State,No
6/22/2019,Shreveport,LA,Worker fataly shot while delivering mail.,1410414,Federal,No
6/22/2019,Bainbridge,GA,Worker died of heat stroke.,1413207,Federal,Yes
6/22/2019,New York,NY,Worker died in fall from scaffold.,1410807,Federal,Yes
6/21/2019,Kingwood,TX,Worker died from heat stress.,1410368,Federal,Yes
6/21/2019,Lafayette,IN,Worker fatally struck by ball hitch.,1419538,State,Yes
6/21/2019,Rock Island,IL,Worker died in fall through skylight.,1410057,Federal,Yes
6/21/2019,Hamburg,AR,Worker fatally struck by vehicle.,1410347,Federal,No
6/21/2019,Seymour,IN,Worker died in motor vehicle collision.,1416299,State,No
6/21/2019,Brentwood,TN,Worker died in fall from roof.,1410206,State,Yes
6/21/2019,Columbia,SC,Worker fatally struck by rolling tractor trailer.,1410775,State,Yes
6/21/2019,Houston,TX,Worker died in fall from decking.,1410261,Federal,Yes
6/21/2019,Greenwich,NY,Worker fatally struck material ejected from underwater pipe.,1410268,Federal,Yes
6/21/2019,Yarmouth,ME,Worker fatally injured after getting caught in street sweeper.,1410541,Federal,Yes
6/21/2019,Riverview,FL,Worker fatally struck by vehicle.,1411512,Federal,No
6/20/2019,Aquasco,MD,Worker fatally struck by falling branch.,1409788,State,Yes
6/20/2019,Oshkosh,WI,Worker died in fall from ladder.,1410036,Federal,No
6/20/2019,Silver Lake,KS,Worker fatally struck by falling tree.,1409837,Federal,Yes
6/20/2019,Catlett,VA,Worker died in fall from ladder.,1409988,State,Yes
6/20/2019,Lebanon,IL,Worker died in fall while painting house.,1428737,Federal,Yes
6/20/2019,Madera,CA,Worker fatally crushed under tractor.,1410093,State,Yes
6/19/2019,Bluffton,IN,Worker died after becoming caught in machine.,1410448,State,Yes
6/19/2019,Panama City,FL,Worker died from heat stress.,1410553,Federal,No
6/19/2019,Humble,TX,Worker electrocuted by deep fryer .,1409830,Federal,Yes
6/19/2019,Franklin,NH,Worker fatally crushed under vehicle.,1409509,Federal,No
6/19/2019,Richmond,VA,Worker died in fall from roof.,1409642,State,Yes
6/19/2019,Vieques,PR,Worker died from heat exhaustion.,1461065,State,No
6/18/2019,Greeley,CO,Worker fatally crushed by slabs of concrete.,1410033,Federal,Yes
6/18/2019,Port Huron,MI,Worker electrocuted while installing lighting.,1408880,State,No
6/18/2019,Crawford,NE,Worker fatally struck by truck.,1410227,Federal,Yes
6/18/2019,Klamath Falls,OR,Worker fatally struck by vehicle.,1410793,State,No
6/18/2019,Winchester Bay,OR,Worker fatally crushed between loading dock and truck trailer.,1409738,State,No
6/18/2019,Saint Paul,MN,Worker fatally struck by falling stone.,1409732,State,Yes
6/17/2019,Greensburg,IN,Worker drowned when mower tipped over into creek.,1414112,State,Yes
6/15/2019,Wilton,IA,Worker died from nitrogen inhalation.,1409473,State,No
6/15/2019,Beaverton,OR,Worker died from carbon monoxide exposure.,1410797,State,No
6/14/2019,Houston,TX,Worker electrocuted while wiring sign cabinet.,1408580,Federal,Yes
6/14/2019,Batavia,IL,Worker died from exposure to concrete sealant.,1408589,Federal,No
6/14/2019,Dickinson,TX,Worker fatally struck by backhoe.,1408875,Federal,Yes
6/13/2019,Derwood,MD,Worker fatally crushed between front end loader and debris.,1408017,State,No
6/13/2019,Souderton,PA,Worker fatally struck by cutting knife.,1407645,Federal,No
6/13/2019,Honea Path,SC,Worker fatally struck by garbage truck.,1408307,State,Yes
6/13/2019,Signal Mountain,TN,Worker died in fall from roof.,1408728,State,Yes
6/11/2019,Pottstown,PA,Worker died after head struck ground in fall.,1408398,Federal,No
6/11/2019,Cumming,GA,Worker fatally crushed by collapsing wall.,1407404,Federal,Yes
6/11/2019,Charlotte,NC,Worker fatally struck by falling crane load.,1407925,State,No
6/10/2019,Curtis Bay,MD,Worker fatally crushed between back of truck and loading dock.,1407235,State,No
6/10/2019,Carolina,PR,Worker died in fall when ground collapsed.,1407418,State,No
6/10/2019,Carver,MA,Worker fatally crushed between steel lifting arm and concrete tank.,1407654,Federal,Yes
6/10/2019,Selden,KS,Worker electrocuted when truck mast contacted overhead power lines.,1407471,Federal,Yes
6/10/2019,Carolina,PR,Worker died in fall from collapsing floor.,1407082,State,Yes
6/10/2019,Fryeburg,ME,Worker fatally struck by falling tree.,1406254,Federal,Yes
6/10/2019,Bloomington,IN,Worker died after tripping and falling in office.,1420335,State,No
6/9/2019,Montgomery,AL,Worker died in fall from scissor lift.,1408070,Federal,No
6/9/2019,Pinellas Park,FL,Worker fatally crushed when truck fell off lift.,1407362,Federal,Yes
6/8/2019,Luxemburg,WI,Worker fatally crushed under truck.,1406972,Federal,No
6/8/2019,Emmonak,AK,Worker drowned after falling into river.,1406838,Federal,Yes
6/7/2019,Aurora,CO,Worker died in fall from tree.,1406496,Federal,No
6/7/2019,Bristol,IN,Worker fatally struck by load that fell from forklift.,1406920,State,Yes
6/7/2019,New Milford,CT,Worker died after becoming entangled in conveyor belt.,1407005,Federal,Yes
6/7/2019,Cold Spring,MN,Worker fatally crushed beween ground and mower.,1406927,State,Yes
6/7/2019,Thornville,OH,Worker fatally struck by pickup truck.,1406776,Federal,Yes
6/7/2019,Thomson,GA,Worker electrocuted while replacing lights inside roadside sign.,1406688,Federal,No
6/7/2019,Anaheim,CA,Worker died in fall from roof.,1416949,State,No
6/7/2019,North Hollywood,CA,Worker died in fall from truck.,1407040,State,No
6/6/2019,Wabash,IN,Worker fatally crushed by arm of dumper machine.,1406549,State,Yes
6/6/2019,Nashville,TN,Worker fatally crushed by collapsed ceiling.,1406639,State,Yes
6/6/2019,Olathe,KS,Worker died in fall from ladder.,1406448,Federal,Yes
6/6/2019,Blythe,CA,Worker fatally struck by bailer knocked over by forklift.,1406439,State,No
6/6/2019,Atlanta,GA,Worker died in fall from trash bin.,1406813,Federal,Yes
6/6/2019,Elmwood Park,NJ,Worker fatally crushed by overturned forklift.,1406309,Federal,Yes
6/6/2019,Static,KY,Worker fatally stuck by flying piece of lumber.,1408324,State,Yes
6/5/2019,Markham,IL,Worker electrocuted while installing light pole.,1405927,Federal,Yes
6/5/2019,Mainland,PA,Worker fatally struck by pickup truck.,1406230,Federal,No
6/5/2019,Cumming,GA,Worker died in fall from roof.,1405826,Federal,Yes
6/5/2019,Shattuck,OK,Worker died in fall from roof.,1423808,Federal,No
6/5/2019,Bakersfield,CA,Worker died from heat stroke.,1409288,State,No
6/5/2019,Cardiff,CA,Worker died in fall from scaffold.,1405974,State,Yes
6/5/2019,Cornelius,NC,Worker died in fall from roof.,1406130,State,Yes
6/4/2019,Bloomington,IL,Worker fatally crushed between truck and pavement.,1405654,Federal,Yes
6/4/2019,Cambridge,VT,Worker fatally struck by falling tree.,1405828,State,Yes
6/4/2019,Myakka City,FL,Worker died of heat-related illness.,1407253,Federal,Yes
6/3/2019,Northport,AL,Worker fatally struck by tree limb.,1405295,Federal,Yes
6/3/2019,Idleyld Park,OR,Worker died from heat stroke.,1409005,State,No
6/3/2019,Baltimore,MD,Worker drowned after falling into waste water tank.,1405408,State,Yes
6/3/2019,Abbotsford,WI,Worker died from allergic reaction to drugs used to treat friction burn.,1406231,Federal,Yes
6/2/2019,Houston,TX,Worker fatally crushed between steel support and forklift.,1405014,Federal,Yes
6/2/2019,Mansfield,MA,Worker fatally struck by forklift.,1400244,Federal,No
6/1/2019,Imperial,NE,Worker fatally crushed when tractor rolled over.,1405530,Federal,Yes
6/1/2019,Porter Ranch,CA,Worker died in fall from scaffold.,1405429,State,No
6/1/2019,Johnson City,TX,Worker fatally struck by load that fell from forklift.,1405935,Federal,Yes
6/1/2019,Dallas,TX,Worker fatally struck by machinery that rolled over.,1405267,Federal,No
6/1/2019,Winter Garden,FL,Worker died in fall from stairwell.,1405048,Federal,Yes
6/1/2019,Conyers,GA,Worker electrocuted by junction box.,1405925,Federal,No
5/31/2019,Fenton,MI,Worker died from injuries suffered after fall from boat.,1406104,State,No
5/31/2019,Niles,MI,Worker in aerial lift electrocuted after contacting transmission line.,1405043,State,No
5/31/2019,Pine Grove,LA,Worker fatally struck by uncoupled landing joint.,1404907,Federal,No
5/31/2019,Big Lake,TX,Worker fatally struck by pump jack.,1405428,Federal,Yes
5/30/2019,Latrobe,PA,Worker died after being struck by table saw board.,1405217,Federal,Yes
5/30/2019,Phoenix,AZ,Worker fatally struck by falling pallet.,1408187,State,No
5/30/2019,El Paso,TX,Worker died when forklift rolled over.,1404565,Federal,Yes
5/29/2019,Plano,TX,Worker fatally struck by vehicle.,1404317,Federal,Yes
5/29/2019,Seiad Valley,CA,Worker fatally struck by falling tree.,1404675,State,No
5/29/2019,Ennis,MT,Worker died when ATV rolled over.,1404647,Federal,No
5/29/2019,Astoria,OR,Worker died in fall from hopper platform.,1405474,State,No
5/29/2019,Vivian,LA,Worker electrocuted by well pump.,1404993,Federal,No
5/28/2019,Ardmore,OK,Worker died in fall from roof.,1404192,Federal,Yes
5/28/2019,Wichita,KS,Worker fatally struck when tire burst under pressure.,1404598,Federal,Yes
5/28/2019,North Little Rock,AR,Worker fatally struck by falling tree.,1407592,Federal,Yes
5/28/2019,Dallas,TX,Worker fatally struck by vehicle.,1403991,Federal,No
5/28/2019,Esmond,IL,Worker electrocuted when power line contacted truck.,1404069,Federal,Yes
5/28/2019,Richmond,RI,Worker fatally struck by log.,1403869,Federal,Yes
5/28/2019,Medley,FL,Worker died in fall from storage shelves.,1404715,Federal,Yes
5/28/2019,Falls Church,VA,Worker trimming trees electrocuted after contacting power line.,1404019,State,Yes
5/27/2019,Claymont,DE,Worker fatally injured by mulch pile falling from elevated pallet.,1403661,Federal,Yes
5/25/2019,Saint Louis,MO,Worker fatally injured by chain saw.,1404709,Federal,Yes
5/24/2019,Troy,MI,Worker fatally struck by vehicle.,1404270,State,No
5/24/2019,Moreno Valley,CA,Worker died in fall from roof.,1403360,State,No
5/24/2019,Virgie,KY,Worker fatally crushed by tree.,1404101,State,Yes
5/23/2019,Little Rock,AR,Worker died from heat stroke.,1403371,Federal,No
5/23/2019,Cassopolis,MI,Worker electrocuted when steel truss contacted power line.,1403376,State,No
5/23/2019,Farwell,TX,Worker fatally crushed by bull.,1403375,Federal,Yes
5/23/2019,Pinehurst,NC,Worker fatally struck by vehicle.,1404080,State,No
5/23/2019,Dublin,GA,Worker fatally struck by bulldozer.,1403671,Federal,Yes
5/22/2019,Slater,IA,Worker died in fall from communications tower.,1402846,State,Yes
5/22/2019,Houston,TX,Worker died in fall from scissor lift.,1403650,Federal,Yes
5/22/2019,Dallas,TX,Worker fatally struck by warehouse cart.,1403545,Federal,Yes
5/22/2019,New Braunfels,TX,Worker died from heat stress.,1403283,Federal,Yes
5/22/2019,Coolville,OH,Worker fatally struck by falling tree.,1403174,Federal,No
5/22/2019,Breaux Bridge,LA,Worker fatally struck by motor vehicle.,1403312,Federal,No
5/22/2019,Columbia,SC,Worker died in outdoor fire.,1403232,Federal,Yes
5/21/2019,Moran,WY,Worker drowned afted falling into river.,1403221,Federal,No
5/21/2019,Algonquin,IL,Worker fatally crushed between excavator and concrete Jersey barrier.,1403007,Federal,Yes
5/21/2019,Fontana,CA,Worker fatally crushed in galvanizing line.,1403395,State,No
5/21/2019,Mount Morris,NY,Worker electrocuted when crane cable contacted power line.,1402851,Federal,No
5/21/2019,Mansfield,TX,Worker fatally struck when tire exploded.,1402870,Federal,Yes
5/20/2019,Thomasville,GA,Worker drowned in river.,1403583,Federal,Yes
5/18/2019,Killeen,TX,Worker died in fall from ladder.,1402085,Federal,No
5/18/2019,New York,NY,Worker died in fall from scaffold.,1401948,Federal,Yes
5/18/2019,Williston,ND,Worker fatally struck by falling rod.,1402701,Federal,Yes
5/17/2019,New Plymouth,ID,Worker drowned when skid steer entered pond.,1402372,Federal,No
5/17/2019,Pueblo,CO,Worker fatally crushed between two rail cars.,1402091,Federal,No
5/17/2019,Greensboro,NC,Worker died in fall from roof.,1402764,State,Yes
5/17/2019,Hanover,MD,Worker fatally crushed between cabin and chasis of amusement park ride.,1402039,State,Yes
5/17/2019,Brooklyn,NY,Worker fatally crushed between truck and loading dock.,1428296,Federal,Yes
5/17/2019,Midland,TX,Worker electrocuted while servicing control panel.,1402555,Federal,Yes
5/16/2019,Woodland,MI,Worker fatally engulfed in corn silo.,1402265,State,No
5/16/2019,Brookhaven,MS,Worker died in fall from radio tower.,1402361,Federal,Yes
5/15/2019,West Valley City,UT,Worker died in fall from scaffold.,1401309,State,No
5/15/2019,Tyler,TX,Worker fatally struck by concrete pump truck boom.,1401840,Federal,No
5/15/2019,Elkton,OR,Worker fatally crushed by truck.,1409736,State,No
5/15/2019,White Bear Lake,MN,Worker died in fall from stack of lumber.,1403819,State,Yes
5/15/2019,Hazleton,PA,Worker fatally struck by container thst slid off truck.,1400865,Federal,Yes
5/15/2019,San Pedro,CA,Worker fatally struck by tire geing removed from rim.,1401005,State,No
5/14/2019,Santa Rosa,CA,Worker died when ATV overturned.,1401311,State,No
5/14/2019,Philadelphia,PA,Worker died in fall from scaffold.,1397906,Federal,Yes
5/14/2019,Lodi,CA,Worker died from exposure to amonia vapor.,1401608,State,No
5/14/2019,Braselton,GA,Worker died when truck flipped over.,1401095,Federal,Yes
5/14/2019,Lovejoy,GA,Worker fatally struck by motor vehicle.,1401081,Federal,Yes
5/14/2019,Brownsville,TX,Worker preforming shipbreaking fatally burned in flash fire.,1401624,Federal,Yes
5/14/2019,Newport News,VA,Worker fatally struck by falling pallet.,1409378,State,Yes
5/13/2019,Swanton,MD,Worker died in fall from dam.,1400744,State,No
5/13/2019,Biwabik,MN,Worker fatally crushed between garbage truck and fence post.,1401034,State,Yes
5/12/2019,Warren,AR,Worker died in fall trhough roof opening.,1400777,Federal,Yes
5/12/2019,Hot Springs Village,AR,Worker died in fall from pressure washer tank.,1404380,Federal,Yes
5/11/2019,Lakeland,GA,Worker died in fall from tree.,1400031,Federal,No
5/10/2019,Nashville,TN,Worker died in fall through skylight.,1401674,State,Yes
5/10/2019,Hickory,NC,Worker died after riding mower slid into water.,1405743,State,Yes
5/10/2019,Buena Vista,VA,Three workers died in gas explosion.,1400176,State,No
5/9/2019,Casper,WY,Worker fatally struck by piece of pipe.,1399462,State,No
5/8/2019,Hagerstown,MD,Worker died in fall from ladder.,1399302,State,No
5/8/2019,Chestertown,NY,Worker died in fall from roof.,1401262,Federal,Yes
5/8/2019,Yonkers,NY,Worker died in fall from tree.,1399175,Federal,No
5/8/2019,Lakeland,FL,Worker fatally crushed by roller that fell off truck trailer.,1400159,Federal,Yes
5/7/2019,Tickfaw,LA,Worker fatally crushed by excavator bucket.,1403038,Federal,No
5/7/2019,Hyannis,MA,Worker fatally crushed by marble slab.,1399034,Federal,Yes
5/6/2019,Sidney,MT,Worker fatally crushed between semi truck and trailer.,1399408,Federal,No
5/6/2019,Farmington,NM,Worker electrocuted when tool contacted power line.,1401600,State,Yes
5/6/2019,Ashburn,VA,Worker drowned while swimming a safety line across creek.,1398434,State,Yes
5/6/2019,Sylmar,CA,Worker fatally crushed between backhoe and concrete pad.,1401587,State,Yes
5/5/2019,Christopher,IL,Worker died from heat and smoke exposure while fighting fire.,1399073,State,No
5/5/2019,Sacramento,CA,Worker electrocuted while repairing office lighting.,1398493,State,No
5/4/2019,Bellflower,CA,Worker died in fall from wallat construction site.,1400290,State,No
5/4/2019,Houston,MO,Worker died from carbon monoxide exposure.,1398960,Federal,No
5/4/2019,Mentone,TX,Worker electrocuted by contact with breaker box.,1398621,Federal,Yes
5/3/2019,Warsaw,IN,Worker fatally struck by piece of rock being crushed.,1398869,State,Yes
5/3/2019,Valley City,OH,Worker fatally crushed between two powered industrial trucks.,1398494,Federal,Yes
5/3/2019,Hallandale Beach,FL,Worker died in fall down elevator shaft.,1398409,Federal,No
5/3/2019,Greenville,GA,Worker fatally crushed by falling structural frame.,1398336,Federal,Yes
5/2/2019,Fremont,IN,Worker fatally struck by tow motor.,1398517,State,Yes
5/2/2019,Plano,TX,Worker died in fall from ladder.,1398278,Federal,Yes
5/2/2019,Greenwell Springs,LA,Worker fatally struck by falling tree branches.,1399778,Federal,No
5/1/2019,Fairborn,OH,Work died in fall through skylight.,1397485,Federal,Yes
5/1/2019,Streeter,WV,Worker fatally struck by falling tree limb.,1397451,Federal,Yes
4/30/2019,Danville,IL,Worker fatally shot during robbery.,1399012,Federal,No
4/30/2019,Fresno,CA,Worker fatally injured in backwards fall.,1398693,State,No
4/30/2019,Guin,AL,Worker fatally struck by truck.,1397520,Federal,No
4/30/2019,Yanceyville,NC,Worher fatally crushed by steel plate.,1398512,State,Yes
